id,K,r,M0,trial
IW_P04899,0.44537009608967965,0.05275588545927644,1.3574758806053019e-7,GES18_Extras
IW_P04900,0.41323135183308773,0.06272099185863034,4.973093934039359e-11,GES18_Extras
IW_P04901,0.5015213399206623,0.04300619224244059,5.511322880523417e-6,GES18_Extras
IW_P04902,0.47347037358390753,0.05128426098693896,1.7405462039868097e-7,GES18_Extras
IW_P04903,0.5085911068630093,0.05831416948870219,1.2872062229079245e-14,GES18_Extras
IW_P04904,0.3838751450076091,0.04695462132635431,8.768261149052202e-6,GES18_Extras
IW_P04905,0.4624403353985517,0.053621376040343616,8.584777554348562e-8,GES18_Extras
IW_P04906,0.488191314266416,0.056504293628557425,3.419255991843386e-10,GES18_Extras
IW_P04907,0.44361368322799527,0.039134444684402005,1.8312018963860286e-4,GES18_Extras
IW_P04908,0.46539129876285523,0.03933822903072668,6.60350806467296e-5,GES18_Extras
IW_P04909,0.4813848640924087,0.03541637194938416,2.6925094637835455e-4,GES18_Extras
IW_P04910,0.5900783663999509,0.0347111122437977,5.8766362228041445e-5,GES18_Extras
IW_P04911,0.45154846808720445,0.050171720976158324,1.2101254540883699e-7,GES18_Extras
IW_P04912,0.49433420679709583,0.08354406689509346,2.4783436171372438e-73,GES18_Extras
IW_P04913,0.4606325640410837,0.03892032784494211,5.014941255793507e-5,GES18_Extras
IW_P04914,0.48811631549701795,0.08214424754731794,2.4892280264435226e-75,GES18_Extras
IW_P04915,0.3983295191761586,0.04634258304257139,2.9567605149193373e-6,GES18_Extras
IW_P04916,0.4739420941924883,0.02571221460613661,0.002256631004536088,GES18_Extras
IW_P04917,0.4766143621856052,0.046345376511973194,1.4695653417050988e-6,GES18_Extras
IW_P04918,0.5457399617218317,0.04034107702705459,2.512166197817342e-6,GES18_Extras
IW_P04919,0.5436478146042614,0.037920258563526425,1.0432871079011118e-5,GES18_Extras
IW_P04920,0.41040594541065595,0.03984852242404421,7.621213717405516e-5,GES18_Extras
IW_P04921,0.5212379735206659,0.03437637227429182,1.4857562968258295e-4,GES18_Extras
IW_P04922,0.5472987596102392,0.04374925474057792,8.402445379831312e-8,GES18_Extras
IW_P04923,0.4413223338226458,0.049479472723447174,2.8829109036679744e-8,GES18_Extras
IW_P04924,0.4376628979806134,0.05421488973095404,2.6293513625836274e-10,GES18_Extras
IW_P04925,0.45429262620220606,0.0495337765236742,1.616115055848715e-8,GES18_Extras
IW_P04926,0.42612411721063637,0.04667627975450606,4.97187835149983e-7,GES18_Extras
IW_P04927,0.3846984915007725,0.03849196831074965,1.0832972896799762e-4,GES18_Extras
IW_P04928,0.540205601479528,0.02265173627452166,0.0040339927936796785,GES18_Extras
IW_P04929,0.48692581566171916,0.04668326633506464,1.7595690112204775e-8,GES18_Extras
IW_P04930,0.5188393796209722,0.114811977222609,0,GES18_Extras
IW_P04931,0.5886741546884912,0.027744399330641562,6.00437084911804e-4,GES18_Extras
IW_P04932,0.41844525426573437,0.051460252084008416,1.7793151243328636e-9,GES18_Extras
IW_P04933,0.5017249944197776,0.02382130499584185,0.0033938766234452083,GES18_Extras
IW_P04934,0.6502741295677162,0.033514785850575185,1.2113151944903019e-5,GES18_Extras
IW_P04935,0.5285432613948534,0.05743382760351862,1.977693101404252e-15,GES18_Extras
IW_P04936,0.45500238871202914,0.03959723334385379,4.988589098009086e-5,GES18_Extras
IW_P04937,0.49537678672709984,0.04683109250947329,1.105967233622376e-7,GES18_Extras
IW_P04938,0.4013763792007645,0.038447522091865395,1.8052307924755774e-4,GES18_Extras
IW_P04939,0.49878799265935014,0.05840738858887523,7.612213865295903e-14,GES18_Extras
IW_P04940,0.45062417004057076,0.029767699555715517,0.0011960547156000924,GES18_Extras
IW_P04941,0.5071784159392583,0.05959244963657724,4.135354207151396e-17,GES18_Extras
IW_P04942,0.4561985186562072,0.04082069999639636,1.6374879223141913e-5,GES18_Extras
IW_P04943,0.5187481280884343,0.049817860753163606,1.8124618460175883e-9,GES18_Extras
IW_P04944,0.43878027004390846,0.03777963259587958,1.2873432871220294e-4,GES18_Extras
IW_P04945,0.4644442774650618,0.04824812081525328,1.314789682929324e-7,GES18_Extras
IW_P04946,0.3831853019612605,0.04961753281519233,1.639626805253319e-6,GES18_Extras
IW_P04947,0.42473737404083034,0.0455648981262068,9.151029870994082e-7,GES18_Extras
IW_P04948,0.5099939239541319,0.07726664535912185,7.165714897506302e-65,GES18_Extras
IW_P04949,0.47868970967147345,0.04823192499478627,4.852529950694707e-8,GES18_Extras
IW_P04950,0.5016530235208204,0.033635197393373985,2.062100785141901e-4,GES18_Extras
IW_P04951,0.4865419978827803,0.042195087014726386,2.9263595061172238e-6,GES18_Extras
IW_P04952,0.43053317284254183,0.055203595461220584,1.30937745361987e-9,GES18_Extras
IW_P04953,0.4018802538940817,0.034378798297854,5.152054445575147e-4,GES18_Extras
IW_P04954,0.4189952186886933,0.04109052420127296,3.4875977648468204e-5,GES18_Extras
IW_P04955,0.4511691938236417,0.029046471396246738,0.0012213493242654587,GES18_Extras
IW_P04956,0.5671774261238663,0.02716553549315688,0.0014962426565040376,GES18_Extras
IW_P04957,0.5013523147105811,0.03791870400201038,3.581471855492272e-5,GES18_Extras
IW_P04958,0.436826908809855,0.054946130814287515,1.6155572737009818e-8,GES18_Extras
IW_P04959,0.42750424643615026,0.04183069663665654,7.305415234651472e-6,GES18_Extras
IW_P04960,0.46845928593824054,0.04230770034474087,5.573691861363577e-6,GES18_Extras
IW_P04961,0.44605534690424914,0.028524915506248753,0.0018455813108525048,GES18_Extras
IW_P04962,0.4913014939363837,0.05075326298134683,1.562539598317132e-9,GES18_Extras
IW_P04963,0.41912846675318155,0.04916561642600047,4.7087970830216876e-8,GES18_Extras
IW_P04964,0.3346502301164423,0.047679220350175654,1.3781217157423387e-5,GES18_Extras
IW_P04965,0.4682806041074754,0.050732236888639405,2.9305271703349697e-8,GES18_Extras
IW_P04966,0.49420277805385293,0.02921797841987876,0.0012756760493396197,GES18_Extras
IW_P04967,0.501711160771282,0.04813651667157141,1.355067437374474e-7,GES18_Extras
IW_P04968,0.46220373280564075,0.04785687896297026,3.927933975311625e-7,GES18_Extras
IW_P04969,0.45774403563514116,0.0560323092123411,1.0579985518191443e-10,GES18_Extras
IW_P04970,0.3049213695706122,0.037118089605003825,0.0015819230253431972,GES18_Extras
IW_P04971,0.4522881818283913,0.04690391249613892,9.392604803509034e-7,GES18_Extras
IW_P04972,0.3815456382071904,0.05370931606577412,2.82958879006938e-7,GES18_Extras
IW_P04973,0.39813545957628227,0.03847139881424675,2.060421305508693e-4,GES18_Extras
IW_P04974,0.4571559616031699,0.04686253435116174,1.7918362802763035e-7,GES18_Extras
IW_P04975,0.3942681639534039,0.04177143790772541,4.084038717482484e-5,GES18_Extras
IW_P04976,0.35141730604825244,0.0333833605667405,0.001255320486398197,GES18_Extras
IW_P04977,0.4867829710804471,0.07180536709857661,4.5355982977375376e-49,GES18_Extras
IW_P04978,0.5980782620170643,0.038508976333200884,2.8460684265972973e-6,GES18_Extras
IW_P04979,0.4137668420671672,0.04407649401757516,2.2082789839846186e-5,GES18_Extras
IW_P04980,0.785713296616825,0.017914684876251034,0.00866073735042219,GES18_Extras
IW_P04981,0.5587094834993056,0.031032527036896608,2.9037029801906795e-4,GES18_Extras
IW_P04982,0.47061621213388166,0.020439171340622096,0.014312022059162634,GES18_Extras
IW_P04983,0.5026644551434194,0.044916571275344576,1.223206398115905e-6,GES18_Extras
IW_P04984,0.4704550170668856,0.045240309118124614,9.072137081058274e-7,GES18_Extras
IW_P04985,0.49888487606626364,0.028366782531277435,0.0014481331281182596,GES18_Extras
IW_P04986,0.48878663169798414,0.037484313051940714,4.2225492622754454e-05,GES18_Extras
IW_P04987,0.3409201142362511,0.0325528951703218,0.002764177716984485,GES18_Extras
IW_P04988,0.32587262995342275,0.033109866740458994,0.0029701462151215984,GES18_Extras
IW_A0459,0.48270640467417764,0.02477151038367415,0.003371661664064875,GES18_ExKsub
IW_A0491,0.44001043465157674,0.03480612989595428,3.408288682364378e-4,GES18_ExKsub
IW_A0553,0.3388075550404008,0.03536862085295421,0.0011724874884441704,GES18_ExKsub
IW_A0379,0.3805347520492942,0.029649567117289936,0.0021463929657695806,GES18_ExKsub
IW_A0542,0.41540988834338094,0.03650495991788603,1.4141722641061784e-4,GES18_ExKsub
IW_A0436,0.5798145342745702,0.02605538287463056,0.0022527258107665395,GES18_ExKsub
IW_A0541,0.45503478818120013,0.03201959103194282,3.008474507391128e-4,GES18_ExKsub
IW_A0405,0.5913321367912978,0.02637904762506846,0.0012605879424160142,GES18_ExKsub
IW_A0407,0.4053988344077715,0.035887163151582614,3.55790055390388e-4,GES18_ExKsub
IW_A0385,0.37764526449749575,0.030681690543966546,0.0030762172147703703,GES18_ExKsub
IW_A0513,0.5069163610946891,0.01636828503871163,0.016824151652761254,GES18_ExKsub
IW_A0438,0.3611854974362017,0.02478141426384377,0.008739851599953507,GES18_ExKsub
IW_A0490,0.501510653925337,0.019380287944182735,0.009351182368477456,GES18_ExKsub
IW_A0597,0.4652169174521598,0.0246597043494747,0.004611151032886521,GES18_ExKsub
IW_A0592,0.4573733645831338,0.028346764877686535,0.002439088973324495,GES18_ExKsub
IW_A0448,0.4617543075830459,0.02455866626534934,0.004182217553771171,GES18_ExKsub
IW_A0548,0.6607593454024253,0.015333267723224768,0.012695214048655422,GES18_ExKsub
IW_A0562,0.3891554040168182,0.028604118347072122,0.00424377842280901,GES18_ExKsub
IW_A0560,0.4517078236726365,0.020495816894475934,0.012040284856676273,GES18_ExKsub
IW_A0421,0.7439966359170345,0.02349201862938643,0.0012853805839124679,GES18_ExKsub
IW_A0506,0.4441809187394002,0.028677105123750078,0.002531818206315859,GES18_ExKsub
IW_A0432,0.5965230992266427,0.017718188812970076,0.011978951460479434,GES18_ExKsub
IW_A0449,0.5255747763119093,0.020232360022396836,0.008774145879845593,GES18_ExKsub
IW_A0453,0.42507562689730727,0.02505562066635516,0.00480052837528135,GES18_ExKsub
IW_A0417,0.4366820155211274,0.02321516493460862,0.006593116405103519,GES18_ExKsub
IW_A0484,0.4710081300558044,0.019203110386070404,0.013989985144334943,GES18_ExKsub
IW_A0402,0.5485793592816445,0.02366213152992352,0.0035498802544996653,GES18_ExKsub
IW_A0564,0.3488401248219418,0.03480842113513846,0.001084086592630232,GES18_ExKsub
IW_A0435,0.43735134660253877,0.03047556730153518,8.633102300139416e-4,GES18_ExKsub
IW_A0528,0.4578601518509727,0.0284485351563754,0.0032422955028174596,GES18_ExKsub
